ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
57015,NM,20080331,32528,39343,SOUTH DAKOTA,3795.0,DAKOTA HERITAGE STATE BANK,CHANCELLOR,221 MAIN ST.,20121101,12643,19040526,35548,12643_20080331
54126,NM,20080331,50788,58857,WISCONSIN,5176.0,GREENLEAF WAYSIDE BANK,GREENLEAF,1608 DAY ST.,99991231,12661,19130101,53681,12661_20080331
66210,N,20080331,49285,66980,KANSAS,17329.0,BANK OF KANSAS CITY NA,OVERLAND PARK,7500 COLLEGE BLVD.,20110101,12690,19160501,49651,12690_20080331
67867,NM,20080331,55488,62406,KANSAS,5786.0,MONTEZUMA STATE BANK,MONTEZUMA,209 N. AZTEC ST.,20140307,12692,19130101,56620,12692_20080331
65276,NM,20080331,94149,105170,MISSOURI,8002.0,CITIZENS COMMUNITY BANK,PILOT GROVE,100 ROE ST.,99991231,12694,19130826,97168,12694_20080331
72145,SM,20080331,120873,154585,ARKANSAS,16927.0,SIMMONS FIRST BANK OF SEARCY,SEARCY,401 S. MAIN,20140517,12696,19220101,137658,12696_20080331
81092,NM,20080331,127430,174142,COLORADO,28192.0,LEGACY BANK,WILEY,220 MAIN ST.,20220429,12699,19070525,145950,12699_20080331
19943,NM,20080331,70311,94395,DELAWARE,10109.0,FELTON BANK,FELTON,120 MAIN ST.,20110101,12700,19170709,84286,12700_20080331
61044,NM,20080331,89268,115432,ILLINOIS,10442.0,KENT BANK,KENT,717 N. KENT RD.,20141101,12704,19230212,104990,12704_20080331
62298,NM,20080331,82877,101681,ILLINOIS,9490.0,STATE BANK OF WATERLOO,WATERLOO,855 N. ILLINOIS RT. 3,99991231,12706,18940104,92191,12706_20080331
52773,NM,20080331,62704,80885,IOWA,15327.0,WALCOTT TRUST&SAVINGS BANK,WALCOTT,101 W. BRYANT ST.,20200606,12716,19310515,65558,12716_20080331
52314,NM,20080331,52258,57274,IOWA,4655.0,BRIDGE COMMUNITY BANK,MOUNT VERNON,302 HWY. 1 S.,99991231,12717,19030908,52619,12717_20080331
71368,NM,20080331,24143,29551,LOUISIANA,3224.0,SICILY ISLAND STATE BANK,SICILY ISLAND,301 NEWMAN ST.,99991231,12722,19180201,26327,12722_20080331
56479,N,20080331,50178,52916,MINNESOTA,332.0,FIRST INTEGRITY BANK NA,STAPLES,111 N.E. 4TH ST.,20080530,12736,19200120,52585,12736_20080331
68050,NM,20080331,13954,17094,NEBRASKA,2985.0,BANK OF PRAGUE,PRAGUE,MAIN ST.,99991231,12745,19060101,14109,12745_20080331
